Name,Race,Rarity,Type,Cost,Att,Def,Text,Notes,
Stinky Giant Worm,Inferno,Rare,Unit,3,4,4,"Armor 1
 Turn start: Other Allies take 1 damage",,
Heart Devouring,Inferno,Common,Spell,3,-,-,Draw a card. Enemy Player discard a card.,,
Thunder Strike,Inferno,Common,Spell,3,-,-,Deal 4 Crash damage to target square.,,
Torment Fire,Inferno,Common,Spell,3,-,-,Deal 2 damage to the enemy Player and enemies in target row.,,
Bloodfire Scorch,Inferno,Common,Unit,3,1,4,When enemy player takes damage: This unit gains +1/+0,,
Combusting Skaab,Inferno,Common,Unit,3,3,2,,,
Devil Fly,Inferno,Common,Unit,3,1,2,"Debut:If there's no enemy in the opposing row,
 deal 2 damage to a random enemy.",,
Greedy Redeye,Inferno,Common,Unit,3,2,1,"Debut: Insight 1 You take 2 damage, draw a card.",,
Hungry Giant Mouth,Inferno,Common,Unit,3,3,1,Debut: Sacrifice random adjacent ally Gain +3/+3,,
Scorched Corpse,Inferno,Common,Unit,3,2,2,Increase physical damage to player by 3.,,
Ahriman Spellfire,Inferno,Epic,Spell,4,,,"Deal 5 Crash damage to target square.
If you have no cards in hand, deal 8 Crash damage"
Sorcery Zombie,Inferno,Epic,Unit,4,1,6,"Double Strike
Pre-strike: Gain +1/+1 for every spell card played this turn.",,
Bitter Watcher,Inferno,Epic,Unit,4,3,4,"Turn end: If you have no cards, gain +1/-1 and draw a card.",,
Blood-flame Erinyes,Inferno,Epic,Unit,4,3,2,Turn end: Enemy Player discards a card. If he has no cards in hand. takes 4 health damage.,,
Bloodlust Osyluth,Inferno,Epic,Unit,4,4,3,"Trample
 When this unit attacks the enemy: Gain +1/+1.",,
Demon Scarecrow,Inferno,Epic,Unit,4,0,4,"Turn start:if the first enemy in target row just entered, gain +4/+4",,
Firestorm,Inferno,Rare,Spell,4,-,-,Deal 3 damage to the enemy player and enemies in target row.,,
Devil Warlord,Inferno,Rare,Unit,4,4,4,"Turn Start: If you have no cards in your hand, summon a 1/1 Infernal Dretch",,
Gluttonous Wing,Inferno,Rare,Unit,4,2,4,"Penetration, When enemy player takes damage: This unit has a 50% chance of gaining +1/+1.",,
Howler,Inferno,Rare,Unit,4,5,2,Debut: Give all other allies +1/+0.,,
Scorched Demon,Inferno,Rare,Unit,4,3,2,Pre-strike: Deal 2 damage to a random enemy.,,
Imperious Curse,Inferno,Common,Spell,4,-,-,"Insight 1
 Destroy a random enemy.",,
Lava Golem,Inferno,Common,Unit,4,3,4,Pre-strike: Gain +1/+1 for every spell card played this turn.,,
Acid Aberration,Inferno,Common,Unit,4,3,1,Debut: Deal 1 damage ot all enemies in the opposing row.,,
Crawling Braineater,Inferno,Common,Unit,4,3,2,"Debut: Enemy player discard a card.
 Death: You discard 1 hand card.",,
Red Tails,Inferno,Common,Unit,4,6,3,Debut: another ally takes 2 damage,,
Spitter,Inferno,Common,Unit,4,4,1,"Debut: If there's no enemy in the opposing row, deal 3 damage to the enemy player.",,
Devouring Grudge,Inferno,Legendary,Unit,5,3,8,"Debut: Drain 5 Health from enemy Player.
 Death: Return 5 Health to enemy player.",,
Thunderstorm,Inferno,Epic,Spell,5,-,-,Deal 4 damage to the enemy Player and enemies in target row.,,
Devouring Insect,Inferno,Epic,Unit,5,3,3,"Trample
Pre-strike: If the enemy has no cards in their hand, gain +2/+2.",,
Blackflame Rift,Inferno,Epic,Unit,5,0,10,"Defender, Turn End: Summon a 1/1 Infernal Dretch, if you've got no cards, summon a 3/2 Combustin Skaab.",,
Cerberus,Inferno,Epic,Unit,5,2,6,"Triple Strike
 Debut: Insight 1",,
Infernal Butcher,Inferno,Epic,Unit,5,3,4,"Debut: Destroy an enemy.
 Death: The opponent draw a card.",,
Furious Fireball,Inferno,Rare,Spell,5,-,-,"Deal 5 Crash damage to target area. If you have no cards, add Furious Fireball to your hand.",,
Fanged Butcher,Inferno,Rare,Unit,5,3,3,Debut: Deal 2 damage to all enemies in the opposing row.,,
Furious Ushioni,Inferno,Rare,Unit,5,5,3,Debut: Deal 1 damage to all other units.,,
Crumbled Thoughts,Inferno,Common,Spell,5,-,-,Deal 4 damage to the enemy Player. Discard 2 cards from your hand.,,
Fire Falling,Inferno,Common,Spell,5,-,-,"Deal 7 damage to target Enemy. If you have no cards in hand, draw a card.",,
Demon Eye,Inferno,Common,Unit,5,3,4,"Deployment phase: Insight 2
Turn start: If you have no cards in your hand, this unit gains +0/+3.",,
Giant Spraying Moth,Inferno,Common,Unit,5,4,3,"Debut: If there's no enemy in the opposing row, deal 3 damage to a random enemy.",,
Hunter,Inferno,Common,Unit,5,5,1,When this unit attacks the enemy: enemy player discards a card.,,
Infected Ushioni,Inferno,Common,Unit,5,5,5,Turn start: other allies in the same row takes 1 damage,,
"Lilith, Blood Wing",Inferno,Legendary,Unit,6,5,4,"First strike, Turn start: If you've got no cards, you take 2 damage. Destroy a random enemy.",,
Lava Bovine,Inferno,Epic,Unit,6,6,5,"Debut: Deal 2 damage to an enemy. Turn Start: If you have no cards, deal 2 damage to an enemy.",,
Abyssal Devil,Inferno,Rare,Unit,6,6,1,Debut: Deal 6 damage to an enemy.,,
Blood Prophet,Inferno,Rare,Unit,6,3,7,"Turn end: sacrifice and adjacent ally, draw a card",,
Scorch,Inferno,Common,Spell,6,-,-,"Turn end: Destroy an enemy on target square, summon a 3/2 Deflagrating Skaab",,
Abyssal Tentacle,Inferno,Common,Unit,6,3,5,"Turn Start: If enemy player has no cards in his/her hand, drain 2 Health.",,
Nightmare Horror,Inferno,Epic,Unit,7,7,5,Debut: each player discard all cards in their hands.,,
Poisonous Vermin,Inferno,Rare,Unit,7,2,7,Pre-strike: Deal 3 damage randomly split among all enemy units.,,
Infernal Magma-Throat,Inferno,Legendary,Unit,8,6,6,"Pre-Strike, Turn Start, and End: Deal 2 damage to an enemy. If there are no enemy units, enemy player is damaged.",,
Sliver Mouth,Inferno,Rare,Unit,8,4,4,"Debut: Deal 3 damage to all enemies in opposite row.
 Whenever an enemy dies, gain +1/+1.",,
Scarlet Lord,Inferno,Legendary,Unit,9,9,7,"Debut: Summon two 1/2 Scarlet Minions.
 Pre-Strike: Give all other allies +2/+0.",,
Necromantic Augury,Deus of Winter's Apostle,Rare,Spell,0,-,-,"Sacrifice target Ally, draw two cards",Deus of Winter's Apostle,
Bone Mound,Deus of Winter's Apostle,Common,Unit,0,0,1,"Defender
 Death: Random ally gains +1/+2.",,
Frozen Deep,Deus of Winter's Apostle,Rare,Spell,1,-,-,"Freeze target area. Enemy in this area can't strike this turn. If this area was already frozen, destroy enemy.",,
Numbing Frost,Deus of Winter's Apostle,Common,Spell,1,-,-,"Silence target square.
 Freeze that square.",,
Cold Scarecrow,Deus of Winter's Apostle,Common,Unit,1,0,3,"Turn start:if the first enemy in target row just entered, the enemy unit -1/-1",,
Ice Wall,Deus of Winter's Apostle,Common,Unit,1,0,4,"Defender, Death: Freeze this square.",,
Skeleton Hound,Deus of Winter's Apostle,Common,Unit,1,1,1,Death: Give random ally +2/+0.,,
Seal of Apostle,Deus of Winter's Apostle,Epic,Spell,2,-,-,"Freeze target square.
 Add Seal of the Apostle to your hand.",,
Winter Warlock,Deus of Winter's Apostle,Epic,Unit,2,2,2,"Turn Start: Freeze a random square. (Turn end: n the frozen square, Deus Race units gain +1/+0, other units gain -1/-0)",,
Winter-eve Herald,Deus of Winter's Apostle,Epic,Unit,2,3,3,Reduce both players' Mana limit by 1.,,
Frozen Bonespear,Deus of Winter's Apostle,Rare,Spell,2,-,-,"Freezes target area, give Enemy on the area -2/-2.",,
Animated Wight,Deus of Winter's Apostle,Rare,Unit,2,1,2,"Death: Insight 1, summon a 2/1 Skeleton Warrior",,
Cold Grave,Deus of Winter's Apostle,Rare,Unit,2,0,6,"Defender
 Turn end: if 2 units died, turn this unit into 4/4 Skaab",,
Frostiron Soldier,Deus of Winter's Apostle,Rare,Unit,2,3,1,Debut: Freeze a random adjacent square.,,
Skeleton Soulhunter,Deus of Winter's Apostle,Rare,Unit,2,2,2,"Whenever an enemy dies, gain +1/+1",,
Ritual of Winter,Deus of Winter's Apostle,Common,Spell,2,-,-,"Turn end: Freeze random area on your Fist
 summon a 2/1 Skeleton",,
Skeleton Wall,Deus of Winter's Apostle,Common,Spell,2,-,-,Turn End: Summon a 0/1 Bone Mound for every unit that died in this turn.,,
Winter is Coming,Deus of Winter's Apostle,Common,Spell,2,-,-,"Freezes random area of target Player
 draw a card.",,
Bone Wall,Deus of Winter's Apostle,Common,Unit,2,0,5,"Defender (Can't attack)
 Whenever a unit dies: Gain +0/+1.",,
Creeping Corpse,Deus of Winter's Apostle,Common,Unit,2,1,3,Turn end: if 2 units died in this round gain +2/+1,,
Deus Fanatic,Deus of Winter's Apostle,Common,Unit,2,4,1,Pre-strike: Can't attack if there is no ally on an adjacent area.,,
Frost Zombie,Deus of Winter's Apostle,Common,Unit,2,2,2,"Death: Freeze a random square. (Turn end: Every Deus Race unit gains +1/+0, other units gain -1/-0).",,
Iceplague Worm,Deus of Winter's Apostle,Common,Unit,2,1,2,Increase physical damage to the player by 2.,,
Skeleton Warrior,Deus of Winter's Apostle,Common,Unit,2,2,1,,,
Blood Blade of Boreas,Deus of Winter's Apostle,Legendary,Spell,3,-,-,"Give target +3/+1 and gain First Strike, Trample
 freeze target area",,
Frozen Memory,Deus of Winter's Apostle,Epic,Spell,3,-,-,"Increase 2 cards' cost in Enemy Player's hand by 3, draw a card.",,
Blind Swordsman,Deus of Winter's Apostle,Epic,Unit,3,4,4,"Debut: Freeze a random adjacent area. 
Pre-strike: Deal X damage to your health (where X is the total number of frozen squares). ",,
Ruin Temple,Deus of Winter's Apostle,Epic,Unit,3,0,7,"Turn End: If more thant 2 units died during this turn, transform this unit into Polar Temple.",,
Scary Thornbearer,Deus of Winter's Apostle,Epic,Unit,3,4,1,"Debut: if this unit has been frozen
 gain +2/+0 and trample",,
Stitch Master,Deus of Winter's Apostle,Epic,Unit,3,1,2,Turn end: if 2 units died in this round summon a 4/4 Skaab,,
Conversion,Deus of Winter's Apostle,Rare,Spell,3,-,-,Give target ally +4/+4 and Silence. ,,
Conscript Apostle,Deus of Winter's Apostle,Rare,Spell,3,-,-,"Turn end: Freeze target square, summon two 2/2 Frost Zombies.",,
Frost Flamen,Deus of Winter's Apostle,Rare,Unit,3,1,1,"Pre-strike: Give random enemy -1/-1, freeze it's square.",,
Immortal Frost Fencer,Deus of Winter's Apostle,Rare,Unit,3,3,1,"Death: If this unit's area is frozen
 return it to your hand",,
Polar Fanatic,Deus of Winter's Apostle,Rare,Unit,3,3,2,"Debut: Sacrifice a random adjacent ally.
 If the sacrifice has been done, destroy a random enemy.",,
Polar Night Ghost,Deus of Winter's Apostle,Rare,Unit,3,3,1,"Invisibility, Penetration",,
Temple Flamen,Deus of Winter's Apostle,Rare,Unit,3,1,3,Pre-strike: Drain X Health from enemy player/ (X = this unit's attack),,
Conversion,Deus of Winter's Apostle,Common,Spell,3,-,-,"Turn End: Summon a 4/4 Skaab
 Drain 1 health from enemy",,
Frost Drain,Deus of Winter's Apostle,Common,Spell,3,-,-,"Deal X damage to target enemy and restore X health
(X equals to number of frozen areas on enemey fist)",,
Deus Disciple,Deus of Winter's Apostle,Common,Unit,3,2,2,Whenever a unit dies: Gain +1/+0.,,
Military Skeleton,Deus of Winter's Apostle,Common,Unit,3,2,2,Death: Give random ally +1/+1,,
Skeleton Archer,Deus of Winter's Apostle,Common,Unit,3,1,1,Debut: Deal 2 damage to a random enemy.,,
Winter Sadhu,Deus of Winter's Apostle,Common,Unit,3,1,3,Reduce enemy player's Mana limit by 1.,,
Endless Wintersoul,Deus of Winter's Apostle,Legendary,Unit,4,1,1,Death: Regenerate this unit on a random square.,,
Growling Monster of Ice,Deus of Winter's Apostle,Epic,Unit,4,6,5,"Pre-strike: If this unit's area isn't frozen, gain -2/-2.",,
Silent Lich,Deus of Winter's Apostle,Epic,Unit,4,3,3,Turn start: Give a random adjacent ally +2/+1 and Silence. ,,
Polar Trebuchet,Deus of Winter's Apostle,Epic,Unit,4,1,4,"Turn start: Deal 3 Crash damage to a random enemy square, then freeze that square.",,
Skeleton Summoner,Deus of Winter's Apostle,Epic,Unit,4,2,3,Whenever an enemy dies: Summon a 1/1 Skeleton Hound.,,
Winter-Veil Knight,Deus of Winter's Apostle,Epic,Unit,4,3,3,"Armor 1
 Debut: Give all enemies in the opposing row -1/-1.",,
Bone Explosion,Deus of Winter's Apostle,Rare,Spell,4,-,-,"Sacrifice target Ally, Give -4/-4 to two random enemies.",,
Piercing Ice,Deus of Winter's Apostle,Rare,Spell,4,-,-,"Give two random enemies -1/-1, freeze the squares they occupy.",,
Deus Acolyte,Deus of Winter's Apostle,Rare,Unit,4,4,3,"Debut: Insight 1
 Whenever a unit dies: Gain+1/+0",,
Hibernal Sorceror,Deus of Winter's Apostle,Rare,Unit,4,3,4,Turn end: if this unit has been frozen summon a 2/1 skeleton,,
Polar Hunter,Deus of Winter's Apostle,Rare,Unit,4,1,5,"Debut: Freeze a random square occupied by the enemy.
 The enemy can't attack this turn.",,
Winter Spellbreaker,Deus of Winter's Apostle,Rare,Unit,4,2,4,"Reduce enemy player's Mana limit by 1.
 Debut: Insight 2",,
Boreas' Breath,Deus of Winter's Apostle,Common,Spell,4,-,-,Give enemies in target row -2/-2.,,
Death Nail,Deus of Winter's Apostle,Common,Spell,4,-,-,"Turn end: Destroy an enemy. If this spell kills any Enemy, you summon a 2/2 Frozen Zombie.",,
Ritual of Bones,Deus of Winter's Apostle,Common,Spell,4,-,-,Summon two 2/1 Skeleton Warriors in target row.,,
Animated Bones,Deus of Winter's Apostle,Common,Unit,4,3,1,Death: Summon a 2/1 Skeleton Warrior.,,
Grim Ram,Deus of Winter's Apostle,Common,Unit,4,2,3,Increase physical damage to the player by 4.,,
Night Ghost,Deus of Winter's Apostle,Common,Unit,4,4,1,Pre-strike: if this units has been frozen an enemy -1/-1,,
Watchful Crow,Deus of Winter's Apostle,Common,Unit,4,3,2,"Penetration
 When an enemy dies: Gain +2/+0",,
Wild Zombie,Deus of Winter's Apostle,Common,Unit,4,3,2,"Whenever an enemy dies, gain +1/+1.",,
"Boreas, Dread Lord",Deus of Winter's Apostle,Legendary,Unit,5,4,3,"First strike
 Trample
 Armor 2",,
Wail of the Dead,Deus of Winter's Apostle,Epic,Spell,5,-,-,Turn end: Summon 3 2/1 Skeleton Warriors. Every enemy that died in the last turn reduce's card's cost by 1.,,
Merciless Predator,Deus of Winter's Apostle,Epic,Unit,5,3,6,"Pre-strike: Sacrifice a random adjacent ally and give a random enemy unit -2/-2.
Whenever a unit dies, gain +1/+0.",,
Queen of Evernight,Deus of Winter's Apostle,Epic,Unit,5,4,3,Reduce each player's Mana limit by 2. Turn end: If its area is frozen increase opponent's cards cost by 1,,
Winter-Veil Warrior,Deus of Winter's Apostle,Epic,Unit,5,3,3,"Double Strike
 Debut: Gain Armor X, where X is the number of frozen squares on your Fist.",,
Howl of Deus,Deus of Winter's Apostle,Rare,Spell,5,-,-,Draw three cards. Restore 1 Health for each Frozen area on your Fist.,,
Cold-marrow Vermin,Deus of Winter's Apostle,Rare,Unit,5,2,5,When this unit attacks the enemy: Deal extra damage equal to the number of frozen squares on both Fists.,,
Never Roar,Deus of Winter's Apostle,Rare,Unit,5,3,4,"Debut: For every frozen square on your Fist, gain +1/+1.",,
Skeleton Warlord,Deus of Winter's Apostle,Rare,Unit,5,4,2,Whenever an enemy dies: Summon a 2/1 Skeleton Warrior.,,
Deus Cultist,Deus of Winter's Apostle,Common,Unit,5,2,2,Debut: Give all enemies in the opposing row -1/-1.,,
Skaab,Deus of Winter's Apostle,Common,Unit,5,4,4,,,
Temple Praetorian,Deus of Winter's Apostle,Common,Unit,5,5,6,Pre-Strike: If this unit's area doesn't freeze can't strike,,
Throned Lich,Deus of Winter's Apostle,Legendary,Unit,6,2,7,"When an ally dies, give a random enemy -1/-1.
 When an enemy dies, give a random ally +1/+1.",,
Ice Age,Deus of Winter's Apostle,Epic,Spell,6,-,-,Deal X damage to all units.(Where X is the number of all frozen squares on the board.),,
Apostle Bishop,Deus of Winter's Apostle,Epic,Unit,6,3,6,Turn end: Resurrrect a random enemy that died in this round on your Fist.,,
Bone Ranges,Deus of Winter's Apostle,Rare,Spell,6,-,-,Summon three 0/5 Bone Wall in target column.,,
Ice Golem,Deus of Winter's Apostle,Rare,Unit,6,6,3,"Debut: Freeze two random squares.
 Death: Freeze two random squares.",,
Coldblood Tooth,Deus of Winter's Apostle,Common,Spell,6,-,-,Summon three 1/1 Skeleton Hounds in target column.,,
Gemini Shadow,Deus of Winter's Apostle,Common,Spell,6,-,-,"Turn End: Summon two 4/4 Skaabs
 Drain 2 health from the enemy.",,
Frostiron Axeman,Deus of Winter's Apostle,Common,Unit,6,3,5,Whenever a unit dies: Gain +0/+1.,,
Avatar of Deus,Deus of Winter's Apostle,Legendary,Unit,7,1,3,"Debut: A frozen square on your Fist gains +1/+3
 Turn end: drain 1 health fro each frozen square on enemy's fist.",,
Deus Herald,Deus of Winter's Apostle,Epic,Unit,7,5,3,"Debut: Summon two 2/1 Skeleton Warriors.
 Whenever a unit dies: Gain +1/+0.",,
Killing Freeze,Deus of Winter's Apostle,Rare,Spell,7,-,-,Deal X damage to enemy Player (Where X is the number of all frozen squares on the board.),,
Iceplague Carrier,Deus of Winter's Apostle,Rare,Unit,7,5,8,Debut: Restore 1 health for every frozen square on both Fists.,,
Polar Yeti,Deus of Winter's Apostle,Common,Unit,7,5,2,"Debut: For every frozen square on your Fist, gain +1/+2",,
"Yateras, Iceberg",Deus of Winter's Apostle,Legendary,Unit,8,6,15,"Debut: Freeze 6 random squares, all units can't attack this turn.",,
Ice Behemoth,Deus of Winter's Apostle,Rare,Unit,8,5,6,"Trample
 Debut: For each frozen area on your Fist, gain +1/+1.",,
Descent of Apostles,Deus of Winter's Apostle,Epic,Spell,9,-,-,"In target row, summon 3 3/1 Animated Bones. Every enemy that died in the last turn reduce's card's cost by 1.",,
Ice Dragon,Deus of Winter's Apostle,Epic,Unit,9,7,7,For every frozen square on both Fists: Reduce the cost of this card by 1.,,
Anima Seed,Zen Valley,Epic,Unit,1,0,2,"Gain Heritage: Grow into a ""Big Tree"".(Random)",Zen Valley,
Blade of Heritage,Zen Valley,Rare,Spell,1,-,-,Give target ally +2/+1 if this unit has Heritage when death Inherited Blade of Heritage into your hand,,
Mountain Hermitage,Zen Valley,Rare,Spell,1,-,-,"Teleport target Ally to a radnom tile in another Row, draw a card.",,
Animaivy,Zen Valley,Rare,Unit,1,0,2,Turn end: Double defence,,
Fargesia Guard,Zen Valley,Rare,Unit,1,2,1,"Debut: Insight 1, deal 1 damage to random area in opposite row",,
Disorientation,Zen Valley,Common,Spell,1,-,-,Return target enemy to its owner's hand.,,
Peach,Zen Valley,Common,Spell,1,-,-,"Insight 1 
 Give target ally +0/+1.",,
Intelligent Vine,Zen Valley,Common,Unit,1,0,3,Turn end: Drain 1 Health from the enemy Player.,,
Peck of Peaches,Zen Valley,Epic,Spell,2,-,-,"Turn end: Your health +3
 Add three Peaches to your hand.",,
Seal of Chivalry,Zen Valley,Epic,Spell,2,-,-,"Give random Ally +1/+2
 Add Seal of Chivalry into your hand.",,
Peach Hermit,Zen Valley,Epic,Unit,2,0,4,Turn end: Add Peach to your hand.,,
Reynard Ronin,Zen Valley,Epic,Unit,2,1,2,"Turn start: Move to a row with no enemy.
 Hit player: Gaint +1/+0",,
Shield Builder,Zen Valley,Epic,Unit,2,1,3,"Armor 1
 Turn Start: Deal 1 damage to every adjacent ally gain Armor 1",,
Tornado,Zen Valley,Rare,Spell,2,-,-,Return an enemy on target square and random adjacent enemy to their owner's hand.,,
Vines Rage,Zen Valley,Rare,Spell,2,-,-,Deal 3 damage to the enemy Player and the enemy that was just deployed on target square.,,
Yin & Yang Symbol,Zen Valley,Rare,Spell,2,-,-,"Give target enemy -1/-1 and Defender.
 Or
 Give target ally +1/+1 and First strike.",,
Big-ear Tailor,Zen Valley,Rare,Unit,2,1,1,"Heritage 1
 Increase Mana limit by 1.",,
Goat Herbalist,Zen Valley,Rare,Unit,2,2,2,"Vanguard debut: Restore 2 health.
 Rearguard debut: Deal 2 damage to the enemy Player.",,
Leaf Mesmer,Zen Valley,Rare,Unit,2,2,1,"Heritage 1 (Death: Give an adjacent ally +1/+1.)
 Debut: Switch positions with an adjacent ally.",,
Taoist Numerologist,Zen Valley,Rare,Unit,2,1,3,"Heritage 1 (Death: Give a random adjacent ally +1/+1 and Heritage 1.)
 Deployment phase: Insight 1",,
Ginsengfruit,Zen Valley,Common,Spell,2,-,-,Restore 6 Health.,,
Moon Serenade,Zen Valley,Common,Spell,2,-,-,Give target Unit +1/+1. Draw at card.,,
Taoist Fraternity,Zen Valley,Common,Spell,2,-,-,Turn end: Give target and a adjacent Ally +2/+3.,,
Black Bamboo Guard,Zen Valley,Common,Unit,2,1,3,"Gain Heritage: Gain +2/-1, deal 2 damage to a random enemy.",,
Horse Barrier,Zen Valley,Common,Unit,2,1,5,"Defender (Can't attack)
 Counterattack (When taking damage, this unit can deal its attack damage to its attacker)",,
Purple Censer,Zen Valley,Common,Unit,2,0,3,"Defender,Heritage 2",,
Sika Fencer,Zen Valley,Common,Unit,2,2,1,"Vanguard debut: Gain +0/+1
 Rearguard debut: Gain +1/+0",,
Sika Strider,Zen Valley,Common,Unit,2,1,2,Turn end: Gain +1/+0.,,
Young Fencer,Zen Valley,Common,Unit,2,2,2,,,
"Holy Blade, Lin",Zen Valley,Legendary,Unit,3,2,3,"Turn start:switch position with random adjacent ally
When gets heritage, gain +1 double strike permanently and gain invisibility for 1 turn. ",,
Master of Cosmos,Zen Valley,Legendary,Unit,3,1,3,"Heritage 3
 Turn end: Give a random adjacent ally +1/+2.",,
Qian & Kun Symbol,Zen Valley,Epic,Spell,3,-,-,"On the opponent's board: -2/-0 to 4 ennemies
 On your board: +2/+0 to 4 allies",,
Exorcist,Zen Valley,Epic,Unit,3,3,2,"Hexproof
Hit opponent: Insight 1",,
Peripatetic Guqin Artist,Zen Valley,Epic,Unit,3,1,1,Pre-Strike: Deal 1 damage to all enemies.,,
Seiso Monk,Zen Valley,Epic,Unit,3,3,1,Vanguard debut: Gain Heritage 2. Rearguard debit: Return 1st enemy in the opposing row to its owner's hand.,,
Spirit Possession,Zen Valley,Rare,Spell,3,-,-,Give target unit +3/+2 and lose Defender.,,
Chivalric Draft,Zen Valley,Rare,Spell,3,-,-,"Turn end: Insight 1, summon two 2/2 Young Fencers.",,
Hurricane,Zen Valley,Rare,Spell,3,-,-,Return enemies in target row to their owner's hand.,,
Tiger Palms,Zen Valley,Rare,Spell,3,-,-,Give target ally +1/+1 and Double strike.,,
Gatherer of Herbs,Zen Valley,Rare,Unit,3,2,3,"Rejuvenation
Heritage 1",,
Drunk Taoist,Zen Valley,Rare,Unit,3,3,4,Pre-strike: deal 1 damage to a random unit,,
Moon Guqin Artist,Zen Valley,Rare,Unit,3,2,1,"Debut: Draw a random spell card from your deck.
 If there's none add Moon Serenade to your hand.",,
Puzzled Scarecrow,Zen Valley,Rare,Unit,3,0,1,"Turn start:if the first enemy in target row just entered, ruturn to owner's hands",,
Sword Guardian,Zen Valley,Rare,Unit,3,3,3,When this unit attacks the enemy: Give all allies +1/+-0.,,
"Taste House, Clerk",Zen Valley,Rare,Unit,3,1,3,"Turn start: if you have any card in hand discard one, then draw two cards at the end of the turn.",,
"Taste House, Sister",Zen Valley,Rare,Unit,3,1,4,"Vanguard debut: Give another ally +2/+0.
 Rearguard debut: Give another ally +0/+3",,
Hei & Bai Symbol,Zen Valley,Common,Spell,3,-,-,"Cast on your Fist: Restore 4 Health.
 Cast on the opponent's Fist: Deal 4 damage to the enemy player.",,
Mountain Power,Zen Valley,Common,Spell,3,-,-,Give target ally +x/+0 (X equals to this unit's defense ),,
Sun & Moon Symbol,Zen Valley,Common,Spell,3,-,-,"Deal 2 damage to all enemies in target row.
 Or
 Give alliers in target row +1/+1/.",,
Ascetic Monk,Zen Valley,Common,Unit,3,2,2,Turn End: Gain +1/+1.,,
Big-ear Farmer,Zen Valley,Common,Unit,3,1,2,"Front line debut:Restore 3 Health.
 Debut in rear Line:Draw a card.",,
Kunlun Rover,Zen Valley,Common,Unit,3,1,4,Heritage 1(Death: Give a random adjacent ally +1/+1 and Heritage 1.,,
Reynard Fencer,Zen Valley,Common,Unit,3,3,1,Debut:Deal 1 damage to a random enemy.,,
Sika Huntsman,Zen Valley,Common,Unit,3,4,1,,,
Testudo Monk,Zen Valley,Common,Unit,3,1,3,"Armor 1(Reduce physical damage to this unit by 1)
 Rejuvenation (When this unit attacks the enemy: Restore Health equal to the",,
Woods Watchman,Zen Valley,Common,Unit,3,2,2,"Debut: Insight 1
 Give a random adjacent ally +0/+2.",,
Wild Boar Axe,Zen Valley,Legendary,Spell,4,-,-,"Give target ally+1/+2 and gain
 Rejuvenation,Trample,Heritage 1",,
"Azhen, Flora Lady",Zen Valley,Legendary,Unit,4,1,4,"Poison
Hit opponent: Increase damage dealt by 9. 
If no ally behind unit, it can't attack. 
Pre-strike: adjacent allies +1/+1.",,
Immortal Ficus,Zen Valley,Legendary,Unit,4,0,14,Turn end: Add Ginsengruit to your hand.,,
Power of Dragon Rise,Zen Valley,Epic,Spell,4,-,-,Give target ally shroud for 1 turn. Target ally gains +X/+0 (where X is the ally's defense).,,
Steel-backed Stylite,Zen Valley,Epic,Unit,4,3,4,"Rejuvenation
Armor 1
Gain Heritage: Gain armor 3",,
Master of Spirit Possession,Zen Valley,Epic,Unit,4,2,3,Turn start: Give a random adjacent ally +1/+2 and lose defender.,,
Celestial Kensai,Zen Valley,Epic,Unit,4,4,2,Pre-Strike: Deal 2 damage to all enemies in the opposing row.,,
Deadly Swordman,Zen Valley,Epic,Unit,4,3,5,Turn end: When gets injured: Deal 1 damage to all enemies,,
Ink-house Hermit,Zen Valley,Epic,Unit,4,0,4,Turn End: Copy another random unit to your hand.,,
Sika Magi,Zen Valley,Epic,Unit,4,1,2,"Vanguard debut: All enemies get -1/-1.
 Rearguard debut: All allies get +1/+1.",,
Barn of Glen,Zen Valley,Rare,Unit,4,0,8,Turn start: Give another Ally +1/+1.,,
Nun of Cloud,Zen Valley,Rare,Unit,4,2,3,"Heritage 2
 Debut: Double the Defence of a random adjacent ally.",,
Timorous Ambusher,Zen Valley,Rare,Unit,4,3,4,"Double strike
 Debut: if there's an enemy in the opposing row, this unit can't attack this turn.",,
Wind Chime Taoist,Zen Valley,Rare,Unit,4,2,2,"Debut: Insight 1, return a random enemy to opponent's hand",,
Windwalk Martialist,Zen Valley,Rare,Unit,4,4,3,When this unit attacks the enemy: Return a random enemy to its owner's hand.,,
Spring Breeze,Zen Valley,Common,Spell,4,-,-,"Return an enemy into owner's hand, draw a card.",,
Vigor Gift,Zen Valley,Common,Spell,4,-,-,Give target ally +2/+4.,,
Big-ear Carpenter,Zen Valley,Common,Unit,4,2,2,"Heritage 1
 Debut: Give +1/+1 to a random adjacent ally.",,
Pinaster Hermit,Zen Valley,Common,Unit,4,1,6,Turn end: Restore 2 health.,,
Shrewd Pedlar,Zen Valley,Common,Unit,4,4,2,Heritage 1(Death: Give a random adjacent ally +1/+1 and Heritage 1.,,
"Taste House, Chef",Zen Valley,Common,Unit,4,2,4,Debut:Give all other allies +0/+1.,,
Peripatetic Lay Monk,Zen Valley,Legendary,Unit,5,3,3,"If this unit has Heritage, transform it into Successor of Shenron.",,
Protective Anima,Zen Valley,Epic,Spell,5,-,-,Giver target Ally +2/+2 and Shroud/(Immune all effects.),,
Ferry Hermit,Zen Valley,Epic,Unit,5,4,3,"Death: Draw a card,
 if this unit has Heritage summon 4/3 Ferry Hermit on random adjacent area.",,
